STN;YYYYMMDD;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG
225;20010101;174;97;100;120;4;80;13;190;2;9947;10010;1;9930;13;45;8;75;16;8
225;20010102;184;107;110;140;20;80;8;200;20;9898;9926;1;9882;16;65;5;80;10;7
225;20010103;215;73;92;130;2;50;18;170;1;9996;10041;16;9909;1;60;15;80;12;5
225;20010104;188;97;106;170;18;60;14;210;18;9929;9964;1;9899;15;50;8;70;13;8
225;20010105;203;70;92;170;14;40;24;210;14;9859;9945;1;9784;14;40;9;75;21;7
225;20010106;235;84;92;120;22;50;1;160;24;9973;10040;24;9875;1;60;11;75;1;6
225;20010107;216;97;98;120;1;70;22;150;9;10068;10099;22;10041;1;65;11;75;1;6
225;20010108;239;69;83;100;1;50;23;140;20;10106;10127;24;10090;6;58;20;80;14;7
225;20010109;236;47;53;70;1;20;22;90;1;10138;10145;11;10127;1;56;19;80;9;6
225;20010110;74;75;76;120;23;20;1;170;24;10138;10170;24;10127;6;15;5;59;1;8
225;20010111;70;89;90;130;1;40;22;170;1;10241;10281;21;10175;1;56;1;82;14;3
225;20010112;75;45;46;60;14;20;5;90;16;10293;10320;24;10279;1;65;6;82;1;4
225;20010113;80;74;74;80;4;50;3;110;13;10358;10385;24;10323;1;9;1;75;13;2
225;20010114;78;85;85;120;19;50;6;160;18;10354;10383;1;10316;24;1;9;80;11;5
225;20010115;92;82;83;110;2;30;24;140;2;10279;10311;1;10262;15;50;6;75;12;2
225;20010116;91;44;45;60;16;30;11;80;16;10247;10265;2;10230;24;50;16;60;1;0
225;20010117;101;29;30;50;9;10;13;70;9;10202;10225;1;10191;15;30;8;75;5;1
225;20010118;97;30;31;50;6;10;20;70;7;10195;10206;23;10188;2;3;24;65;6;6
225;20010119;149;20;21;30;8;10;2;40;7;10218;10229;21;10205;1;1;7;39;17;8
225;20010120;147;29;32;50;5;20;1;80;5;10233;10249;24;10221;6;8;9;45;19;8
225;20010121;125;47;50;90;21;10;3;130;20;10201;10248;1;10113;24;18;20;58;23;7
225;20010122;124;54;60;80;1;40;8;120;21;10047;10108;1;9974;24;4;13;60;19;8
225;20010123;176;92;96;140;24;70;1;200;19;9953;10000;10;9870;24;35;17;65;14;8
225;20010124;209;118;122;170;7;80;24;230;4;9930;10011;23;9844;4;60;13;65;1;4
225;20010125;184;78;82;90;6;70;2;120;7;10001;10012;20;9990;5;56;9;80;17;4
225;20010126;186;84;87;130;15;60;24;170;14;9979;10008;1;9930;24;60;13;82;15;5
225;20010127;268;59;83;130;14;30;6;180;17;9937;9977;24;9902;5;56;16;70;1;6
225;20010128;290;55;60;100;1;30;22;120;1;10030;10098;24;9976;1;56;15;75;8;6
225;20010129;234;10;26;40;3;10;5;50;3;10170;10218;24;10105;1;58;8;75;5;6
225;20010130;219;27;37;60;15;20;22;70;13;10223;10230;11;10214;4;60;5;82;10;6
225;20010131;88;29;32;40;3;10;24;60;5;10253;10295;24;10223;1;1;3;65;1;8
225;20010201;254;13;25;50;8;10;1;80;9;10280;10294;9;10249;24;2;1;80;13;6
225;20010202;146;37;45;60;2;20;3;90;2;10171;10240;1;10114;23;20;15;80;1;8
225;20010203;103;60;61;80;8;30;1;110;7;10041;10112;1;10004;18;8;17;40;19;8
225;20010204;109;47;71;100;21;40;19;130;21;9990;10037;7;9901;24;20;14;65;24;8
225;20010205;223;107;114;150;20;90;3;190;19;9916;9963;24;9856;5;50;17;65;1;7
225;20010206;205;129;130;150;6;90;2;200;8;9959;9988;24;9931;6;56;3;75;21;7
225;20010207;194;88;92;130;10;30;24;160;3;9993;10014;13;9953;24;65;24;80;15;7
225;20010208;204;14;93;150;9;30;1;200;7;9952;10051;24;9899;6;60;3;80;10;7
225;20010209;23;38;43;100;1;10;20;120;1;10181;10273;24;10063;1;80;1;82;21;5
225;20010210;164;63;66;120;24;30;1;160;23;10295;10317;11;10270;24;60;21;82;1;5
225;20010211;209;135;136;150;15;110;23;190;8;10266;10272;19;10258;7;45;8;75;18;8
225;20010212;220;42;96;140;1;40;16;190;3;10228;10292;24;10191;14;40;16;75;7;7
225;20010213;16;58;58;100;1;20;24;150;2;10351;10367;21;10298;1;60;13;75;1;3
225;20010214;88;25;25;40;20;10;1;50;17;10351;10363;1;10337;24;2;3;65;18;3
225;20010215;79;14;21;30;2;10;11;50;5;10316;10332;1;10298;24;3;3;75;21;1
225;20010216;17;55;58;90;23;30;1;120;23;10306;10351;24;10284;4;2;6;75;19;7
225;20010217;37;62;64;90;3;30;23;130;6;10399;10421;20;10360;1;65;5;75;1;7
225;20010218;332;32;36;60;23;10;3;80;11;10406;10417;1;10398;6;75;1;80;20;5
225;20010219;282;68;82;110;9;30;1;150;10;10358;10398;1;10332;17;35;9;80;1;6
225;20010220;291;58;70;90;19;40;11;120;21;10325;10346;5;10279;24;65;1;75;2;6
225;20010221;286;65;69;90;1;40;22;110;1;10247;10274;1;10215;24;30;8;80;24;7
225;20010222;297;86;90;110;13;50;20;200;22;10141;10210;1;10059;24;70;22;80;1;5
225;20010223;331;63;68;110;2;30;14;210;6;10054;10062;10;10047;5;70;3;82;2;6
225;20010224;32;22;76;120;2;30;13;170;2;10113;10137;12;10060;1;35;3;80;10;4
225;20010225;282;83;91;120;7;60;16;170;24;10091;10105;1;10083;23;35;9;80;14;6
225;20010226;223;40;69;90;13;30;10;150;4;10041;10083;1;9983;24;50;7;84;8;5
225;20010227;132;57;61;70;1;40;20;130;5;9954;9978;1;9945;14;60;5;75;1;7
225;20010228;81;43;47;70;9;10;16;90;9;9942;9947;2;9937;7;45;16;75;1;6
225;20010301;43;50;53;70;1;40;18;90;1;9950;9984;24;9933;4;28;7;70;24;8
225;20010302;67;66;67;110;22;20;5;160;22;9994;10009;10;9979;23;56;17;75;2;5
225;20010303;71;70;72;90;1;60;14;130;1;9988;9998;12;9973;5;50;24;80;9;3
225;20010304;77;65;65;90;4;40;23;120;4;9989;10073;24;9958;7;45;13;60;2;8
225;20010305;135;24;33;50;14;20;7;90;13;10188;10238;21;10087;1;50;4;70;20;4
225;20010306;117;54;55;80;20;40;1;120;21;10189;10232;1;10117;24;56;11;75;16;3
225;20010307;168;56;64;90;14;40;24;130;1;10081;10111;1;10073;7;26;7;79;17;7
225;20010308;147;42;67;120;22;30;6;160;24;10004;10076;1;9951;19;5;21;75;1;7
225;20010309;208;93;94;110;16;70;9;130;1;9992;10008;22;9978;2;2;14;65;1;7
225;20010310;209;80;83;100;16;60;9;120;16;10000;10021;24;9991;14;5;15;65;7;8
225;20010311;209;76;83;140;23;40;19;220;22;10023;10054;9;9959;23;40;7;70;24;8
225;20010312;227;85;90;130;23;60;21;180;22;10012;10038;11;9983;1;58;4;80;10;3
225;20010313;241;85;105;140;8;60;13;190;9;9970;10002;24;9939;10;65;6;80;15;5
225;20010314;264;79;87;130;3;30;23;160;1;10053;10077;19;10008;1;45;21;75;1;4
225;20010315;206;28;30;50;11;10;7;70;13;10085;10105;24;10059;3;8;15;70;13;6
225;20010316;69;63;65;120;24;10;1;150;21;10103;10121;9;10071;24;5;1;80;20;8
225;20010317;67;107;108;140;2;80;10;190;4;10026;10060;1;10012;16;35;10;76;3;8
225;20010318;46;65;69;100;23;40;14;140;24;9993;10017;1;9973;20;27;8;75;13;8
225;20010319;352;92;98;170;4;20;22;220;5;10123;10192;24;9990;1;60;5;82;11;6
225;20010320;126;26;53;80;20;20;13;120;24;10152;10192;1;10104;24;80;12;82;4;6
225;20010321;90;89;90;120;7;40;23;170;6;10015;10100;1;9972;24;15;24;81;1;8
225;20010322;24;22;40;70;12;10;20;80;11;10004;10075;22;9945;4;5;6;75;16;8
225;20010323;85;41;55;110;16;20;23;160;15;10004;10059;1;9949;15;20;6;75;1;8
